Date,Open,High,Low,Close,Turnover,Volume
12/7/2015,3529.81,3543.95,3506.62,3536.93,277503.71,20830257600
12/8/2015,3518.65,3518.65,3466.79,3470.07,296529.98,22436731200
12/9/2015,3462.58,3495.7,3454.88,3472.44,263710.98,19569884800
12/10/2015,3469.81,3503.65,3446.27,3455.5,276368.22,20042752000
12/11/2015,3441.6,3455.55,3410.92,3434.58,243081.74,18290888000
12/14/2015,3403.51,3521.78,3399.28,3520.67,277813.28,21537462400
12/15/2015,3518.13,3529.96,3496.85,3510.35,276274.94,20047134400
12/16/2015,3522.09,3538.69,3506.29,3516.19,265288.64,19348230400
12/17/2015,3533.63,3583.41,3533.63,3580,381439.62,28385648000
12/18/2015,3574.94,3614.7,3568.16,3578.96,365385.82,27370790400
12/21/2015,3568.58,3651.06,3565.75,3642.47,398316.96,29984928000
12/22/2015,3645.99,3652.64,3616.87,3651.77,360846.05,26117875200
12/23/2015,3653.28,3684.57,3633.02,3636.09,419902.91,29820179200
12/24/2015,3631.31,3640.22,3572.28,3612.49,315421.25,22778521600
12/25/2015,3614.05,3635.26,3601.74,3627.91,274660.06,19845112000
12/28/2015,3635.77,3641.59,3533.78,3533.78,369042.82,26998326400
12/29/2015,3528.4,3547.13,3515.52,3518.76,103096.7,7505131100
